asin,result
1278,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Animated}, [Mood] {Fantasy}, [Setting] {Cinematic}"
1171,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Playful}, [Setting] {Public Square}"
3911,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Warm}, [Setting] {Urban}"
47,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
923,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Color}, [Mood] {Intense}, [Setting] {Urban}"
3273,"[Genre] {Thriller}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Suspenseful}, [Setting] {Urban}"
899,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Joyful}, [Setting] {Urban}"
2762,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Suspenseful}, [Setting] {Urban}"
2000,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
2694,"[Genre] {Family}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Heartwarming}, [Setting] {Urban}"
2987,"[Genre] {Comedy}, [Audience] {Family}, [Visual Format] {Animated}, [Mood] {Playful}, [Setting] {Urban}"
2951,"[Genre] {Western}, [Audience] {Adults}, [Visual Format] {Illustration}, [Mood] {Dramatic}, [Setting] {Desert}"
2465,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Mysterious}, [Setting] {Urban}"
2279,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
3618,"[Genre] {Crime}, [Audience] {Adults}, [Visual Format] {Silhouette}, [Mood] {Mysterious}, [Setting] {Urban}"
1258,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
2067,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Serious}, [Setting] {Winter}"
1036,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
1206,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Urban}"
316,"[Genre] {Sci-Fi}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Enigmatic}, [Setting] {Space}"
440,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Serious}, [Setting] {Urban}"
909,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Romantic}, [Setting] {Urban}"
2318,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Cartoon}, [Mood] {Hopeful}, [Setting] {Urban}"
349,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Still}, [Mood] {Serious}, [Setting] {Urban}"
3593,"[Genre] {Science Fiction}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Space}"
1287,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Colorful}, [Mood] {Dramatic}, [Setting] {Historical}"
1732,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
2315,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Surreal, Creepy}, [Setting] {Dark, Nighttime}"
908,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Still}, [Mood] {Determined}, [Setting] {Urban}"
551,"[Genre] {Fantasy}, [Audience] {Family}, [Visual Format] {Animated}, [Mood] {Spirited}, [Setting] {Fantasy World}"
3180,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Boxing Ring}"
3113,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Dystopian}"
2600,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Desert}"
2015,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Lighthearted}, [Setting] {Urban}"
2826,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Determined}, [Setting] {Historical}"
3785,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Fearful}, [Setting] {Theater}"
1635,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Cinematic}"
1562,"[Genre] {Superhero}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
1460,"[Genre] {Comedy}, [Audience] {Family}, [Visual Format] {Animated}, [Mood] {Playful}, [Setting] {Urban}"
110,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Heroic}, [Setting] {Fantasy}"
589,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Intense}, [Setting] {Urban}"
1810,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Color}, [Mood] {Serious}, [Setting] {Political}"
724,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
2947,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Static}, [Mood] {Confident}, [Setting] {Mountainous}"
329,"[Genre] {Science Fiction}, [Audience] {Adults}, [Visual Format] {Movie Poster}, [Mood] {Dramatic}, [Setting] {Space}"
158,"[Genre] {Fantasy}, [Audience] {Children}, [Visual Format] {Animated}, [Mood] {Energetic}, [Setting] {Nighttime}"
1213,"[Genre] {Crime}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Urban}"
531,"[Genre] {Drama}, [Audience] {Family}, [Visual Format] {Color}, [Mood] {Romantic}, [Setting] {Garden}"
1234,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Illustration}, [Mood] {Playful}, [Setting] {Cinematic}"
3683,"[Genre] {Thriller}, [Audience] {Adults}, [Visual Format] {Digital Art}, [Mood] {Intense}, [Setting] {Nighttime}"
1722,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Urban}"
1094,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Black and White}, [Mood] {Intense}, [Setting] {Urban}"
457,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
32,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Film Poster}, [Mood] {Intense}, [Setting] {Dark}"
2759,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Playful}, [Setting] {American}"
788,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Happy}, [Setting] {Studio}"
2476,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Serious}, [Setting] {Military}"
1372,"[Genre] {Science Fiction}, [Audience] {Adults}, [Visual Format] {Digital Art}, [Mood] {Action}, [Setting] {Space}"
2605,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
1439,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Playful}, [Setting] {Urban}"
377,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
2529,"[Genre] {Science Fiction}, [Audience] {Adults}, [Visual Format] {Silhouette}, [Mood] {Dramatic}, [Setting] {Apes}"
2616,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Illustration}, [Mood] {Sleek}, [Setting] {Urban}"
663,"[Genre] {Children's Film}, [Audience] {Children}, [Visual Format] {Illustrated Poster}, [Mood] {Playful}, [Setting] {Field}"
3019,"[Genre] {Drama}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Romantic}, [Setting] {Urban}"
543,"[Genre] {Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Romantic}, [Setting] {Urban}"
466,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Confident}, [Setting] {Outdoor}"
