asin,result
1278,"[Genre] {Horror}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Victorian Era}"
1171,"[Genre] {Drama}, [Audience] {General Public}, [Visual Format] {Poster}, [Mood] {Reflective}, [Setting] {Political]"
3911,"[Genre] {Comedy}, [Audience] {General Audience}, [Visual Format] {Live Action}, [Mood] {Humorous}, [Setting] {Studio}"
47,"[Genre] {Horror}, [Audience] {General Audience}, [Visual Format] {Film}, [Mood] {Tense}, [Setting] {Dark and Atmospheric}"
923,"[Genre] {Drama}, [Audience] {General Public}, [Visual Format] {Film Poster}, [Mood] {Mysterious}, [Setting] {Not Specified}"
3273,"[Genre] {Horror}, [Audience] {General Audience}, [Visual Format] {Live Action}, [Mood] {Tense}, [Setting] {Urban}"
899,"[Genre] {Musical}, [Audience] {General Public}, [Visual Format] {Illustration}, [Mood] {Cheerful}, [Setting] {Rainy Day}"
2762,"[Genre] {Horror}, [Audience] {Teenagers}, [Visual Format] {Live Action}, [Mood] {Suspenseful}, [Setting] {Unknown}"
2000,"[Genre] Action, [Audience] Adults, [Visual Format] Live Action, [Mood] Intense, [Setting] Urban"
2694,"[Genre] {Romantic Comedy}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Romantic}, [Setting] {Urban}"
2987,"[Genre] {Animation}, [Audience] {Children}, [Visual Format] {Cartoon}, [Mood] {Humorous}, [Setting] {Comic Book City}"
2951,"[Genre] Western, [Audience] Adults, [Visual Format] Live Action, [Mood] Dramatic, [Setting] Desert Town"
2465,"[Genre] {Horror}, [Audience] {General Audience}, [Visual Format] {Live Action}, [Mood] {Tense}, [Setting] {Dark and Atmospheric]"
2279,"[Genre] {Horror}, [Audience] {General Audience}, [Visual Format] {Live Action}, [Mood] {Tense}, [Setting] {Urban}"
3618,"[Genre] {Crime}, [Audience] {Adults}, [Visual Format] {Black and White}, [Mood] {Dark}, [Setting] {Urban}"
1258,"[Genre] {Horror}, [Audience] {General Audience}, [Visual Format] {Live Action}, [Mood] {Tense}, [Setting] {Abandoned Hotel}"
2067,"[Genre] Drama, [Audience] Adults, [Visual Format] Live Action, [Mood] Emotional, [Setting] Historical"
1036,"[Genre] {Action}, [Audience] {Adults}, [Visual Format] {Live Action}, [Mood] {Intense}, [Setting] {Urban}"
