596344	40480	5
1314641	8683	5
2558735	10938	5
4370451	214992	5
2423281	18085	4
1153011	13112	3
2110812	18535	5
3541461	16610	4
3699538	70343	4
9244533	33385	5
1665717	49552	5
5713589	83557	5
2713558	6905	4
491408	21672	5
2943979	191275	5
2621648	16607	5
3119995	19541	4
494115	26472	4
541046	16845	5
4927997	83727	4
2129429	18448	4
1879218	7184	4
481224	15184	5
1808025	21491	4
5983684	16868	3
9390950	59671	3
672835	19422	5
2881231	111924	5
502486	214079	4
9769881	19538	5
1913173	54496	4
3564037	25483	4
1199915	12733	5
1466505	59671	3
441728	8654	4
1260821	152120	5
2676227	220884	5
3765311	214498	4
2432861	90044	4
2061951	11798	5
1308650	44742	5
2037131	213469	5
4778203	42264	5
1375256	14985	5
204509	25445	5
1554306	21475	5
3216543	90497	5
1027697	17933	5
12439533	16723	4
735549	6788	5
1897802	22390	3
3956468	11587	5
335404	23920	3
3173259	61024	5
6476442	215435	5
3770534	16694	5
4021915	11966	4
1361621	11423	5
1547412	50849	5
797170	74157	4
1873942	102159	5
564862	7065	4
223404	25967	5
2182822	14693	5
734945	14814	5
2772033	8686	5
10897	11727	5
182790	17848	5
777311	86687	3
1539130	31833	4
4095700	77489	4
708692	148970	4
118492	11316	5
864998	8669	5
337136	22919	5
3870038	12942	5
1128921	36925	5
646956	70112	4
2170891	7279	5
1397951	106030	5
6145350	163001	5
1348899	143069	5
1329208	8653	5
206971	89199	4
3552751	10271	5
428596	17495	5
440212	7402	5
1922840	8465	5
1233586	54611	4
939980	6767	5
1570674	6820	4
2640049	233393	5
2246150	165190	5
3263077	83083	3
981945	23294	3
477960	25370	5
3837544	11835	4
854588	17891	4
1115985	12177	4
276377	26060	3
1817634	14692	4
1389193	18149	5
4576340	15221	3
661366	8594	3
130034	13820	4
1860620	76895	5
3429009	6664	2
900522	24332	4
10026	9471	5
867991	25272	4
844886	16539	5
640895	23260	4
2400069	19673	5
853482	26615	4
3469461	82452	4
958468	24023	4
1629558	160929	5
1650590	21174	5
761080	86538	5
205364	6717	2
2118424	19403	3
4452392	24790	3
3574351	11620	5
2095221	12111	5
3552751	61024	4
745460	104850	4
3363194	8669	5
887880	143082	4
577467	22724	3
262372	187946	4
1180836	12254	4
1487900	20675	5
407203	14861	5
866171	57966	4
1013798	163742	4
2078936	18359	5
802251	74430	5
639469	27838	5
233502	8691	5
8891626	80937	5
2923864	14517	5
789217	11808	5
4590553	8941	5
1987909	9870	4
4905363	25241	5
1819661	11101	4
793824	26615	2
1154834	45954	5
1855628	18775	5
8042543	219936	4
1169043	13717	5
2507053	59030	5
1249176	12918	5
990508	8919	5
570941	8626	5
1996543	11847	4
7708742	15644	4
18873	24263	4
3097894	24972	5
5637579	18349	1
1530690	13464	5
1605726	90396	5
2968948	213230	5
2149404	143452	3
1041660	21380	5
403814	16098	5
4723640	104621	5
10750604	57981	5
1032812	22490	4
2870390	11967	5
2214218	73594	5
1580793	70112	5
3459544	25112	5
1985593	20808	5
5472512	73139	5
880574	26626	5
3078400	61024	4
1219520	12051	5
2736308	10687	4
5686	8719	4
4933701	15925	5
76346	16416	5
4679651	44868	5
1575075	58647	5
1576703	7142	4
2304230	25874	5
3088718	16248	4
2022741	16720	5
1273750	14231	5
2635788	77426	4
2229415	8384	4
3740298	213230	5
3839561	25489	5
2379767	186943	5
2119092	8837	4
1050343	8690	5
350292	15577	5
8062867	8083	5
429824	19659	1
2995814	169253	5
1772985	80986	4
1209015	14985	3
805446	108375	2
1406249	14666	5
1808025	58645	5
3326566	19259	5
1131395	24097	5
4338939	80969	3
1567055	50579	5
1934342	91192	5
303790	18835	4
2639507	21217	5
3144895	25037	5
1866424	79470	5
2584087	93157	2
3520477	16174	4
1302706	11669	5
2353728	214157	5
1399945	14276	5
771657	16276	5
1867459	9377	4
330460	56927	5
18102589	68532	5
6166466	61434	5
1057997	6749	5
4976982	13637	5
709644	16348	5
610376	48727	5
1709101	16895	5
3143778	44975	5
8961638	25155	4
1750427	73456	5
646669	75861	4
1000808	67952	5
2227248	216837	5
1828764	16599	4
6580101	69919	5
2795356	50836	3
3464706	25425	5
1831843	15259	3
2357170	24609	5
584321	18779	3
2772033	13218	5
1467923	136476	5
4654995	15715	2
3043619	14685	4
4227830	25445	5
3132725	34929	5
1737956	8384	5
4088900	45782	5
472159	10497	4
3737365	25037	4
827351	11808	4
743968	22298	4
6062082	9471	4
1176827	26257	5
99655	6698	5
1106919	158140	4
4590553	23750	4
2342499	20156	5
966474	25309	4
2183262	60014	4
1570674	8854	5
661366	14531	5
2448319	79301	4
1925491	11587	5
9583287	16354	4
1366670	6698	5
2191253	160371	5
3430550	132372	4
3430550	17707	5
2385221	13459	3
888201	23284	5
1208827	222014	4
426961	22538	4
1219524	17165	5
4531242	8551	5
4976982	14120	4
1532140	143315	3
885907	12481	5
213161	22224	5
1153011	221256	5
2758987	8701	5
278635	11966	4
3863879	41638	5
1379554	85452	3
87634	13393	1
3043619	8941	4
4120664	68943	3
804007	23764	3
206971	46922	4
14558734	91605	4
268713	16816	2
2947425	8857	5
1699760	76594	5
2973269	31540	4
4089233	162760	5
290358	69235	5
1892734	6666	5
182014	14638	2
678930	14595	4
2259940	20156	2
910410	22617	4
5660209	15995	5
167463	204343	5
1828396	83412	5
2763738	7719	5
2146181	19247	5
3574351	140877	5
40964	7216	5
609875	17605	5
204837	10813	5
1222558	19626	5
2957355	77758	4
688085	77797	3
1348186	34221	4
5710433	8766	5
924194	74950	5
4998237	16939	5
2318925	16131	5
241105	7127	5
149561	18830	4
2412694	133722	5
3822994	19118	5
486892	16066	5
1222558	86593	5
1911362	87805	5
1832647	11376	5
2639034	8849	5
2265483	67656	5
1173088	21412	5
392086	19677	5
3180526	23635	5
765397	15004	5
3516667	220597	5
5021906	25867	5
4345897	9023	4
259414	8493	5
963799	44868	5
3708807	34929	5
745460	127628	4
2520283	17962	4
3955958	84923	5
2708963	74658	5
912691	15789	4
1984740	104928	5
1153011	33157	4
2514971	58211	4
969600	24757	5
2908688	8647	4
1475927	17794	5
1902553	17492	5
2506015	74657	5
2174982	147103	5
2629340	223509	5
2448410	20611	5
1073389	20198	5
1448745	8584	5
1719054	14950	5
917497	74077	5
6944015	84270	5
814270	17227	4
3507390	24507	5
713444	81108	4
2326377	17023	5
1483981	214071	5
3743222	137650	5
3360345	13440	5
864137	24002	5
600992	53729	5
2062586	125864	5
6418859	16849	5
2713558	76974	5
3257752	77797	3
4012560	8495	4
1420206	95817	5
8044400	19304	5
2683147	12072	4
610783	16810	5
12237009	202760	5
9303809	14297	3
689725	18318	5
853394	29940	5
722735	16884	4
3188434	142653	4
2921437	79470	5
2769478	220414	5
2322517	34021	5
1321944	15004	5
330004	32478	4
1011201	6862	5
280666	45833	5
3735949	70679	5
8285866	26593	5
1222558	23062	4
2936710	9487	5
2299456	15373	1
2142166	23874	5
425939	17393	5
1068412	6698	5
2266187	16779	5
891803	23040	5
20245	24540	1
929371	8652	5
2319675	26609	4
451382	12889	5
693051	26740	5
3662290	7784	5
1780542	7492	5
1601626	76594	5
883922	14746	5
626517	18241	5
9795130	214931	4
3904507	68613	5
446110	6865	5
45368	16220	5
1583924	18359	5
12216807	86069	5
5692090	12298	5
3742078	16066	5
5182624	8854	5
1772985	14562	4
6285584	11376	4
7722271	13567	4
1046889	78117	4
234513	14950	5
3809215	56927	5
7038443	15650	4
1534210	105053	5
3567821	26404	4
1045248	24778	1
1484452	7865	4
1099951	57761	5
3778162	57966	5
3443763	25198	4
3660797	176581	5
2686838	20057	4
2429399	7402	5
264695	11789	5
1631118	58745	5
832196	78299	5
474298	11800	5
362853	72506	5
6659040	186746	4
3159136	87076	5
2772033	71378	5
1216716	16607	5
1476783	9986	4
